"Issue Id","Project","Tags","Summary","Reporter","Created","Updated","Resolved","Priority","Type","State","Assignee","Sprints","Ideal days","Original estimation","Story points","Environment","QASE TC # (only for bug)","Description","Votes"
"G13-141","group1.3","Star","Shopping cart: Max.length is not defined for the input fields 'Qty.', 'Discount code', 'Gift card', 'Zip / postal code'","Yuliia","30 Sep 2022","30 Sep 2022",,"Normal","Bug","Open","Unassigned","Нет версии исправления",,,,"No environment","No qase tc # (only for bug)","**STR:**

1. Go to <https://demowebshop.tricentis.com/>
2. Click on the 'Electronics' tab \> Cell phones
3. Add a product to a cart
4. Go to the 'Shopping cart'
5. Enter '111111111111111' into 'Qty.' input field
6. Enter 'couponcouponcouponcouponcoupon' into 'Discount code' input field
7. Enter 'giftcardcodegiftcardcodegiftcardcodegiftcardcode' into 'Gift card' input field
8. Enter '1234567891011121314151617' into Zip / postal code' input field

**Actual result:** Max.length is not defined for the input fields 'Qty.', 'Discount code', 'Gift card', 'Zip / postal code'.

**Expected result:** Max.length should be defined for the input fields 'Qty.', 'Discount code', 'Gift card', 'Zip / postal code.","0"
"G13-145","group1.3","Star","Shopping cart: 'Estimate shipping' box is not displaying shipping results of calculations correctly","Yuliia","30 Sep 2022","30 Sep 2022",,"Major","Bug","Open","Unassigned","Нет версии исправления",,,,"No environment","No qase tc # (only for bug)","**Pre-conditions:** the product was added into the shopping cart.

**STR:**

1. Select 'Ukraine' in a dropdown list 'Country'
2. Enter valid zip / postal code '01001' into 'Zip / postal code' input field
3. Click on the button 'Estimate shipping'
4. Observe the shipping results of calculation

**Actual result:** 'Estimate shipping' box is not displaying shipping results of calculations correctly.

**Expected result:** 'Estimate shipping' box should display shipping results of calculations correctly.","0"
"G13-142","group1.3","Star","Shopping cart: Wrong validation message 'The coupon code you entered couldn't be applied to your order' is displayed after inputting invalid gift card code and clicking the 'Add gift card' button","Yuliia","30 Sep 2022","30 Sep 2022",,"Normal","Bug","Open","Unassigned","Нет версии исправления",,,,"No environment","No qase tc # (only for bug)","**Pre-conditions:** the product was added into the shopping cart.

**STR:**

1. Enter invalid gift card code '00-00-00' into 'Gift card code' input field.
2. Click on the button 'Add gift card'.
3. Observe the incorrect validation message: 'The coupon code you entered couldn't be applied to your order'.

**Actual result:** Validation message 'The coupon code you entered couldn't be applied to your order' is displayed after inputting invalid gift card code and clicking the 'Add gift card' button.

**Expected result:** Validation message 'The gift card code you entered couldn't be added to your order' should be displayed after inputting invalid gift card code and clicking the 'Add gift card' button.","0"
"G13-103","group1.3","Star","Shopping Cart Page: There is no validation message when entering letters, special characters into 'Qty.' input field","Yuliia","28 Sep 2022","28 Sep 2022",,"Normal","Bug","Open","Unassigned","Нет версии исправления",,,,"No environment","No qase tc # (only for bug)","**STR:**

1. Go to <https://demowebshop.tricentis.com/>
2. Click on the 'Electronics' tab \> Cell phones
3. Add a product to a cart
4. Go to the 'Shopping cart'
5. Enter 'three' into 'Qty.' input field

**Actual result:** Validation message is not displayed when entering letters (special characters) into 'Qty.' input field.

**Expected result:** Validation message should be displayed when entering letters (special characters) into 'Qty.' input field.","0"
"G13-101","group1.3","Star","Shopping Cart Page: The currency is not displayed when adding a product into the cart","Yuliia","28 Sep 2022","28 Sep 2022",,"Major","Bug","Open","Unassigned","Нет версии исправления",,,,"No environment","No qase tc # (only for bug)","**STR:**

1. Go to <https://demowebshop.tricentis.com/>
2. Click on the 'Electronics' tab \> Cell phones
3. Add a product to a cart
4. Go to the 'Shopping cart'
5. Observe that 'Price' and 'Total' titles do not have the currency symbol

**Actual result:** 'Price' and 'Total' titles do not have the currency symbol.

**Expected result:** 'Price' and 'Total' titles must have the currency symbol.","0"
"G13-4","group1.3","Star","Testing Documentation. Yuliia Artiukhova","Yuliia","16 Sep 2022","28 Sep 2022",,"Critical","Task","Open","Unassigned","Нет версии исправления",,,,"No environment","No qase tc # (only for bug)",,"0"
"G13-38","group1.3","Star","Billing address: The fields ('FirstName', 'LastName', 'Email', 'Address', 'Mobile Number') are not marked with asterisk symbol (*)","Yuliia","19 Sep 2022","20 Sep 2022",,"Critical","Bug","Open","Unassigned","Нет версии исправления",,,,"No environment","No qase tc # (only for bug)","**STR:**

1. Go to <https://demo.guru99.com/telecom/index.html>
2. Click on 'Add customer' button
3. Observe all fields in 'Billing address'

**Actual result:** The fields in 'Billing address' are not marked with asterisk symbol (\*).

**Expected result:** The fields in 'Billing address' should be marked with asterisk symbol (\*).","0"
"G13-47","group1.3","Star","Add Customer Page: 'Mobile no must not be blank' is displayed when leaving the field 'Mobile Nunber' blank","Yuliia","19 Sep 2022","20 Sep 2022",,"Minor","Bug","Open","Unassigned","Нет версии исправления",,,,"No environment","G13-15","**STR:**

1. Go to <https://demo.guru99.com/telecom/index.html>
2. Click on 'Add customer' button
3. Leave 'Mobile Number' field blank
4. See the text error below 'Mobile Number' field

**Actual result:** Error text message is displayed 'Mobile no must not be blank'.

**Expected result:** Error text message should be displayed 'Mobile must not be blank'.","0"
"G13-39","group1.3","Star","Add Customer Page: 'Customer name must not be blank' is displayed when leaving the field 'FirstName' blank","Yuliia","19 Sep 2022","20 Sep 2022",,"Major","Bug","Open","Unassigned","Нет версии исправления",,,,"No environment","G13-2","**STR:**

1. Go to <https://demo.guru99.com/telecom/index.html>
2. Click on 'Add customer' button
3. Leave 'First Name' field blank
4. See the text error below 'FirstName' field 

**Actual result:** Error text message is displayed 'Customer name must not be blank'.

**Expected result:** Error text message should be displayed 'First Name must not be blank'.","0"
"G13-46","group1.3","Star","Add Customer Page: 'Special characters are not allowed' is displayed when entering combination of cyrillic and special characters into 'Address' field","Yuliia","19 Sep 2022","20 Sep 2022",,"Minor","Bug","Open","Unassigned","Нет версии исправления",,,,"No environment","G13-14","**STR:**

1. Go to <https://demo.guru99.com/telecom/index.html>
2. Click on 'Add customer' button
3. Enter combination of cyrillic and special characters into 'Address' field, e.g.: Украина/Киев
4. See the text error below 'Address' field

**Actual result:** Error text message is displayed 'Special characters are not allowed'.

**Expected result:** Error text message should be displayed 'Cyrillic and special characters are not allowed'.","0"
"G13-45","group1.3","Star","Add Customer Page: 'Special characters are not allowed' is displayed when entering cyrillic into 'Address' field","Yuliia","19 Sep 2022","20 Sep 2022",,"Minor","Bug","Open","Unassigned","Нет версии исправления",,,,"No environment","No qase tc # (only for bug)","**STR:**

1. Go to <https://demo.guru99.com/telecom/index.html>
2. Click on 'Add customer' button
3. Enter cyrillic address into 'Address' field, e.g.: Украина
4. See the text error below 'Address' field

**Actual result:** Error text message is displayed 'Special characters are not allowed'.

**Expected result:** Error text message should be displayed 'Cyrillic are not allowed'.","0"
"G13-43","group1.3","Star","Add Customer Page: 'Numbers are not allowed' is displayed when entering cyrillic into 'Last Name' field  ","Yuliia","19 Sep 2022","20 Sep 2022",,"Minor","Bug","Open","Unassigned","Нет версии исправления",,,,"No environment","G13-10","**STR:**

1. Go to <https://demo.guru99.com/telecom/index.html>
2. Click on 'Add customer' button
3. Enter cyrillic Last Name into 'LastName' field, e.g.: Иванов
4. See the text error below 'LastName' field

**Actual result:** Error text message is displayed 'Numbers are not allowed'.

**Expected result:** Error text message should be displayed 'Cyrillic are not allowed'.","0"
"G13-44","group1.3","Star","Add Customer Page: 'Special characters are not allowed' is displayed when entering combination of numbers, cyrillic and special characters into 'Last Name' field","Yuliia","19 Sep 2022","20 Sep 2022",,"Normal","Bug","Open","Unassigned","Нет версии исправления",,,,"No environment","G13-11","**STR:**

1. Go to <https://demo.guru99.com/telecom/index.html>
2. Click on 'Add customer' button
3. Enter 1Иванов$ into 'LastName' field
4. See the text error below 'LastName' field

**Actual result:** Error text message is displayed 'Special characters are not allowed'.

**Expected result:** Error text message should be displayed 'Numbers, Cyrillic and special characters are not allowed'.","0"
"G13-42","group1.3","Star","Add Customer Page: 'Customer name must not be blank' is displayed when leaving the field 'LastName' blank","Yuliia","19 Sep 2022","20 Sep 2022",,"Minor","Bug","Open","Unassigned","Нет версии исправления",,,,"No environment","G13-7","**STR:**

1. Go to <https://demo.guru99.com/telecom/index.html>
2. Click on 'Add customer' button
3. Leave 'Last Name' field blank
4. See the text error below 'LastName' field

**Actual result:** Error text message is displayed 'Customer name must not be blank'.

**Expected result:** Error text message should be displayed 'Last Name must not be blank'.","0"
"G13-41","group1.3","Star","Add Customer Page: 'Special characters are not allowed' is displayed when entering combination of numbers, cyrillic and special characters into 'First Name' field","Yuliia","19 Sep 2022","20 Sep 2022",,"Normal","Bug","Open","Unassigned","Нет версии исправления",,,,"No environment","G13-6","**STR:**

1. Go to <https://demo.guru99.com/telecom/index.html>
2. Click on 'Add customer' button
3. Enter 1Иван$ into 'FirstName' field
4. See the text error below 'FirstName' field

**Actual result:** Error text message is displayed 'Special characters are not allowed'.

**Expected result:** Error text message should be displayed 'Numbers, Cyrillic and special characters are not allowed'.","0"
"G13-40","group1.3","Star","Add Customer Page: 'Numbers are not allowed' is displayed when entering cyrillic into 'First Name' field","Yuliia","19 Sep 2022","20 Sep 2022",,"Minor","Bug","Open","Unassigned","Нет версии исправления",,,,"No environment","G13-4","**STR:**

1. Go to <https://demo.guru99.com/telecom/index.html>
2. Click on 'Add customer' button
3. Enter cyrillic First Name into 'FirstName' field
4. See the text error below 'FirstName' field

**Actual result:** Error text message is displayed 'Numbers are not allowed'.

**Expected result:** Error text message should be displayed 'Cyrillic are not allowed'.","0"
"G13-37","group1.3","Star","Billing address: No titles for the fields 'FirstName', 'LastName', 'Email', 'Address', 'Mobile Number'","Yuliia","19 Sep 2022","20 Sep 2022",,"Normal","Bug","Open","Unassigned","Нет версии исправления",,,,"No environment","No qase tc # (only for bug)","**STR:**

1. Go to <https://demo.guru99.com/telecom/index.html>
2. Click on 'Add customer' button
3. Observe all fields in 'Billing address'

**Actual result:** The fields ('FirstName', 'LastName', 'Email', 'Address', 'Mobile Number') in 'Billing address' do not have titles.

**Expected result:** The fields ('FirstName', 'LastName', 'Email', 'Address', 'Mobile Number') in 'Billing address' should have titles.","0"
"G13-6","group1.3","Star","Add Customer Page: Address is not accepted while entering comma and dot into the field 'Enter your address'","Yuliia","16 Sep 2022","19 Sep 2022",,"Critical","Bug","Open","Unassigned","Нет версии исправления",,,,"No environment","G13-1","**STR:**

1. Go to <https://demo.guru99.com/telecom/index.html>
2. Click on 'Add customer' button
3. Enter address into 'Enter your address' field: Ukraine, Kyiv, Pobedy St., b. 5, app. 40
4. See the error below the address field: 'Special characters are not allowed'

**Actual result:** Address is not accepted while entering comma and dot into the field 'Enter your address'.

**Expected result:** Address should be accepted while entering comma and dot into the field 'Enter your address'.","0"
"G13-5","group1.3","Star","Main Page:  'Delete Customer' button and its description are not displayed","Yuliia","16 Sep 2022","19 Sep 2022",,"Normal","Bug","Open","Unassigned","Нет версии исправления",,,,"No environment","No qase tc # (only for bug)","**STR:**

1. Go to <https://demo.guru99.com/telecom/index.html>
2. Observe all buttons on the main page

   

**Actual result:** 'Delete' button and its description are not displayed on the main page.

**Expected result:** 'Delete' button and its description should be displayed on the main page.","0"
